Publication	taxa	pct of publications	pct of taxa
Species Plantarum	1089	0.03%	1.68%
Prodr.	1081	0.05%	3.34%
Ann. Mycol.	901	0.06%	4.73%
Gen.	860	0.08%	6.05%
Linnaea	750	0.10%	7.21%
Ann. Sci. Nat. Bot. sér.	709	0.11%	8.30%
Fl. Tell.	701	0.13%	9.38%
Fam.	618	0.15%	10.33%
Mycologia	607	0.16%	11.26%
Bot. Jahrb. Syst.	567	0.18%	12.14%
Palaeontographica, Abt. B, Paläophytol.	565	0.19%	13.01%
Flora	527	0.21%	13.82%
Bull. Soc. Bot. France	427	0.23%	14.47%
Sylva Tell.	426	0.24%	15.13%
Rev. Gen.	397	0.26%	15.74%
Orchid Rev.	392	0.28%	16.34%
Mycotaxon	388	0.29%	16.94%
Palaeobotanist	383	0.31%	17.53%
Hedwigia	361	0.32%	18.09%
J. Linn. Soc., Bot.	353	0.34%	18.63%
Bull. Torrey Bot. Club	310	0.36%	19.11%
Sydowia	307	0.37%	19.58%
Trans. Brit. Mycol. Soc.	307	0.39%	20.05%
Gard. Dict. Abr. ed.	303	0.41%	20.52%
J. Bot.	300	0.42%	20.98%
Canad. J. Bot.	299	0.44%	21.44%
Dict. Sci. Nat.	278	0.45%	21.87%
Nat. Pflanzenfam.	263	0.47%	22.28%
Hooker's Icon. Pl.	253	0.49%	22.66%
Phytologia	244	0.50%	23.04%
Ist. Bot. Univ. Lab. Crittog. Pavia Atti ser.	238	0.52%	23.41%
Gen. Fungi	236	0.53%	23.77%
Bull. Soc. Imp. Naturalistes Moscou	234	0.55%	24.13%
Sitzungsber. Kaiserl. Akad. Wiss., Math.-Naturwiss. Cl., Abt.	231	0.57%	24.49%
Bijdr.	227	0.58%	24.84%
Kew Bull.	211	0.60%	25.16%
Amer. J. Bot.	209	0.62%	25.48%
Proc. Amer. Acad. Arts	208	0.63%	25.80%
Trans. Linn. Soc. London	205	0.65%	26.12%
Bull. Soc. Mycol. France	203	0.66%	26.43%
Syll. Fungorum	200	0.68%	26.74%
Ber. Deutsch. Bot. Ges.	196	0.70%	27.04%
Bot. Zeitung (Berlin)	193	0.71%	27.34%
Enum.	190	0.73%	27.63%
Fl. Cochinch.	190	0.75%	27.92%
Hist. Pl. Guiane	190	0.76%	28.21%
Repert. Spec. Nov. Regni Veg.	190	0.78%	28.51%
Taxon	190	0.79%	28.80%
Nova Gen. Sp.	184	0.81%	29.08%
Nat. Arr. Brit. Pl.	183	0.83%	29.36%
Compt. Rend. Hebd. Séances Acad. Sci.	182	0.84%	29.64%
Nova Hedwigia	178	0.86%	29.92%
N. Amer. Fl.	176	0.88%	30.19%
Rev. Palaeobot. Palynol.	166	0.89%	30.45%
Bull. Sci. Soc. Philom. Paris	161	0.91%	30.69%
Bull. Mens. Soc. Linn. Paris	158	0.92%	30.94%
Notizbl. Bot. Gart. Berlin-Dahlem	158	0.94%	31.18%
Arch. Protistenk.	152	0.96%	31.41%
Hooker's J. Bot. Kew Gard. Misc.	151	0.97%	31.65%
Bull. Misc. Inform.	147	0.99%	31.87%
London J. Bot.	147	1.00%	32.10%
Fl. Brasil.	145	1.02%	32.32%
Amer. Midl. Naturalist	144	1.04%	32.54%
Icon.	140	1.05%	32.76%
Phycologia	139	1.07%	32.97%
Edwards's Bot. Reg.	138	1.09%	33.19%
Beih. Bot. Centralbl.	137	1.10%	33.40%
Mycol. Res.	136	1.12%	33.61%
Syst. Nat. ed.	135	1.13%	33.81%
Beih. Geol. Jahrb.	134	1.15%	34.02%
Pollen & Spores	132	1.17%	34.22%
Contr. U.S. Natl. Herb.	130	1.18%	34.42%
Oesterr. Bot. Z.	130	1.20%	34.62%
Species Plantarum ed.	130	1.22%	34.82%
Hist. Nat. Vég. Phan.	129	1.23%	35.02%
Bot. Mag. (Tokyo)	127	1.25%	35.22%
Fruct.	127	1.26%	35.41%
Pflanzenr. IV.	125	1.28%	35.61%
Gard. Chron. ser.	124	1.30%	35.80%
Sp. Algarum	124	1.31%	35.99%
Phycol. Gen.	121	1.33%	36.17%
Bot. Gaz.	117	1.35%	36.35%
Mem. New York Bot. Gard.	117	1.36%	36.53%
Publ. Inst. Micol. Univ. Recife	115	1.38%	36.71%
New Fl.	114	1.39%	36.89%
Acta Phytotax. Sin.	113	1.41%	37.06%
Ann. Mag. Nat. Hist. ser.	111	1.43%	37.23%
Fragm.	110	1.44%	37.40%
Mém. Mus. Hist. Nat.	108	1.46%	37.57%
Adansonia	107	1.47%	37.73%
